UNTERNEHMEN;STRASSE;PLZ;ORT;GUETERVERKEHR;PERSONENVERKEHR
Hanseatische Infrastrukturgesellschaft mbH;Steinriedendamm 15;38108;Braunschweig;Nein;Nein
Hansebahn Bremen GmbH;Auf den Delben 35;28237;Bremen;Ja;Ja
Härtsfeldbahn Betriebs GmbH;Dischinger Straße 11;73450;Neresheim;Ja;Ja
Hartung-Bau Ingenieur- Tief- und Straßenbau GmbH;Nelkenstraße 12;36041;Fulda-Kämmerzell;Ja;Nein
Harzer Schmalspurbahnen GmbH;Friedrichstraße 151;38855;Wernigerode;Ja;Ja
Haustein Eisenbahngesellschaft mbH;Salzweg 8;09584;Deutschneudorf;Nein;Nein
Havelländische Eisenbahn Aktiengesellschaft;Bahnhofstraße 2;14641;Wustermark OT Elstal;Ja;Nein
HBC Hanseatisches Bahn Contor GmbH;Zellmannstraße 10;21129;Hamburg;Ja;Nein
Heavy Haul Power International GmbH;Steigerstraße 9;99096;Erfurt;Ja;Nein
Hector Rail AB;Svärdvägen 27;S-18233;Danderyd;Ja;Ja
Hector Rail GmbH;Rottstraße 1 - 3;44793;Bochum;Ja;Ja
Helrom GmbH;Ludwigstrasse 33-37;60327;Frankfurt am Main;Ja;Nein
Hersfelder-Eisenbahn AG (HEG);Heinrich-Börner-Str. 10;36251;Bad Hersfeld;Nein;Nein
Hespertalbahn e.V.;Postfach 150223;45242;Essen;Ja;Ja
HESSENCOURRIER;Kaulenbergstraße 5;34131;Kassel;Nein;Ja
H.F. Wiebe GmbH & Co. KG;Im Finigen 8;28832;Achim;Ja;Nein
HFM Managementgesellschaft für Hafen und Markt mit beschränkter Haftung;Lindleystraße 14;60314;Frankfurt am Main;Ja;Nein
HGB -Hessische Güterbahn GmbH;Kasseler Straße 1;35418;Buseck;Ja;Nein
Historische S-Bahn e.V.;Bahnhofsstraße 10;15537;Erkner;Nein;Ja
HLB Basis AG;Erlenstraße 2;60325;Frankfurt am Main;Ja;Ja
HLB Hessenbahn GmbH;Erlenstr. 2;60325;Frankfurt am Main;Ja;Ja
HLG Holzlogistik & Güterbahn GmbH;Kasseler Straße 28a;36179;Bebra;Ja;Nein
Holsteinische Eisenbahngesellschaft für historischen Verkehr gGmbH;Talweg 6;23611;Bad Schwartau;Ja;Ja
Hörseltalbahn GmbH;Adam-Opel-Straße 100;99817;Eisenach;Ja;Ja
HOYER GmbH;Wendenstraße 414-424;20537;Hamburg;Ja;Nein
HSL Logistik GmbH;Spaldingstraße 110;20097;Hamburg;Ja;Ja
ICL Ludwigshafen Service GmbH;Giulinistraße 2;67065;Ludwigshafen;Ja;Nein
IGEBA Ingenieurgesellschaft Bahn mbH;Bahnhofstraße 30;97772;Wildflecken;Ja;Ja
IGT Inbetriebnahmegesellschaft Transporttechnik mbH;Chemnitzer Straße 90-94;38226;Salzgitter;Ja;Ja
Ilmebahn GmbH;Dr.-Friedrich-Uhde-Str. 24;37574;Einbeck;Ja;Ja
InfraLeuna GmbH;Am Haupttor/ Bau 4310;06237;Leuna;Ja;Ja
Infraserv Logistics GmbH;Stroofstr. 27;65933;Frankfurt am Main;Ja;Nein
IntEgro Verkehr GmbH;Buchenstraße 24;08468;Reichenbach/Vogtl.;Ja;Ja
Internationale Gesellschaft für Eisenbahnverkehr IGE GmbH & Co. KG;Am Bahngelände 2;91217;Hersbruck;Ja;Ja
IPG Infrastruktur- und Projektentwicklungsgesellschaft mbH;Burgstraße 30;14467;Potsdam;Nein;Nein
IPZ GmbH;Max-Planck-Straße 15;06796;Sandersdorf-Brehna;Ja;Nein
ITB Industrietransportgesellschaft mbH Brandenburg EVU;Friedrich-Franz-Straße 8;14770;Brandenburg an der Havel;Ja;Nein
ITL-Eisenbahngesellschaft mbH;Magdeburger Straße 58;01067;Dresden;Ja;Ja
Jade-Weser-Bahn GmbH;Ludwig-Erhard-Straße 15;28197;Bremen;Ja;Ja
KAF Falkenhahn Bau AG;Siegener Straße 39;57223;Kreuztal;Ja;Nein
Kahlgrund-Verkehrs-GmbH;Am Bahnhof 1;63825;Schöllkrippen;Ja;Ja
Kasseler Verkehrsgesellschaft AG;Königstor 3 - 13;34117;Kassel;Nein;Ja
Knauf Deutsche Gipswerke KG;Knaufstraße 1;06536;Südharz;Ja;Nein
Kölner Verkehrs-Betriebe AG;Scheidtweiler Straße 38;50933;Köln;Nein;Ja
KombiRail Europe B.V.;Oudelandseweg 33;NL-3194 AR;Rotterdam Hoogvliet;Ja;Nein
Kommanditgesellschaft EMS-Gleisbau (GmbH & Co.);Zürnweg 28;21217;Seevetal;Ja;Nein
Kommunalunternehmen Stadtwerke Ochsenfurt;Pestalozzistraße 1;97199;Ochsenfurt;Nein;Nein
Kompetenz für Schienengebundene Verkehre GmbH;Ludwig-Erhard-Straße 55a;04103;Leipzig;Ja;Ja
K-Rail GmbH;Münchner Straße 67;83395;Freilassing;Ja;Nein
Kreisbahn Mansfelder Land GmbH;Ahlsdorfer Weg 10;06311;Helbra;Ja;Ja
Kreisbahn Siegen-Wittgenstein GmbH (KSW);Eiserfelder Straße 16;57072;Siegen;Ja;Nein
Kreisverkehrs- und Infrastrukturbetrieb St. Wendel;Mommstraße 21-31;66606;St. Wendel;Ja;Ja
KVVH Karlsruher Versorgungs-, Verkehrs- und Hafen GmbH;Werftstr. 2;76189;Karlsruhe;Nein;Nein
L & S Luddeneit und Scherf GmbH;Wimmlerstraße 25;07806;Neustadt/Orla;Ja;Nein
Laeger & Wöstenhöfer GmbH & Co. KG;Jahnstraße 29;12347;Berlin;Ja;Ja
Lammert + Reese GmbH & Co. KG;In der Neustadt 1;31737;Rinteln;Nein;Nein
Landkreis Cuxhaven;Vincent  Lübeck  Straße 2;27474;Cuxhaven;Nein;Ja
Lausitz Energie Bergbau AG;Schwarze Pumpe An der Heide;03130;Spremberg;Ja;Nein
Lausitzer Dampflok Club e.V.;Am Stellwerk 552;03185;Teichland-Neuendorf;Nein;Ja
LEG Leipziger Eisenbahnverkehrsgesellschaft mbH;Rosa-Luxemburg-Straße 72;04315;Leipzig;Ja;Ja
Leo Express Global a. s.;?eho?ova 908/ 4;130 00;CZ-Praha 3;Ja;Ja
LEONHARD WEISS GmbH & Co. KG;Leonhard-Weiss-Straße 22;73037;Göppingen;Ja;Nein
LGM Logistikgesellschaft mbH;An der Dornhecke 3;D-99837;Werra-Suhl-Tal;Ja;Nein
Lineas N.V.;Koning Albert II laan  37;B- 1030;Brüssel;Ja;Nein
LION Rail GmbH;Holunderweg 1;03149;Forst;Ja;Nein
LOCON Logistik & Consulting AG;Rudower Chaussee 12 /TH D;12489;Berlin;Ja;Ja
